bid,微博正文,相关,正面,负面,label1,label0
LkvcS8cFX,卫健委新规：各级医疗机构不得以未核酸检测为由推诿拒绝、延误治疗医疗人都知道，这一新规，执行上还是有很大难度的新冠疫情发生以来，国内已有多名政府官员受到撤职免职等严厉处分国人大体上知道，这些官员被处分的主因是疫情防控没做好，而且直接造成了疫情蔓延的后果这些受处分的官员，是在哪些方面抗疫不力，都有哪些具体表现，犯了什么错误，是否存在主观上的恶意，其实都应当客观、实事求是地给出评价和结论。因为这样才是公正负责任的态度。只有明示错在何处，分析为何有错，对疫情防控才具有全国性的指导意义，对各地政府官员吸取教训、积累经验，有效避免犯错才更具有明确的警示作用，同时，也有利于人民群众和政府官员相互监督，积极参与到疫情防控工作中来。如果只是简单的一句“抗疫不力”而处之，对提高“精准防控“效果，实际意义并不大新冠疫情防控，百年一遇，没有前人经验可借鉴，更无当下模板可参照，要做到“动态清零、精准防控”，对于我们这样一个大国，困难和挑战难以想象，需给予一定的容错空间，更需实事求是的精神,1,0,0,1,1
LqIkQcfFf,"上海疫情：反弹不影响清零时间判断前期，当我在4月10日左右判断每日新增感染人数见顶时，数据也有波动，但我仍然从大数据的波动规律出发，判断数据在那周见顶，结果见顶时间就在那周，4月13日。今天，上海公布4月28日疫情数据，确诊5487人，无症状感染者9545人。有5062人从无症状转确诊。则上海新增感染人数=5487+9545-5062=9970人。4月27日的数据是9764人。28日相比27日，增加206人。1.维持5月5日左右清零判断如标题所言，数据反弹不影响清零时间判断。这是连续第二天在万例以下。随着检测的加强，这里波动挣扎一下，就会迅速下降。从顶部数据27000到17000，用了8天，从2万到1万以下，用了4天或5天。28日到5月5日，还有7天，基本够用。2.出舱人数经2天在高位大幅放量后,4月28日向正常回归,出舱14994人，略低于对应量26日出舱30534人,27日出舱24877人,将前期积压的人员清空了,且超过对应量。28日对应量为16407人，实际出舱人数14994人，相差1413人，属于正常波动。3.日死亡52人,累计死亡337人,累计确诊51327人,死亡率0.656575%。死亡率上升0.035%。我从2020年1月26日开始研究疫情数据,至今疫情死亡率数据,一直保持统一口径没变过。武汉疫情之初，当初不知道这是个啥病，国家将它命名为新冠肺炎。所谓肺炎，必须有确认标准，除了症状之外，就是医学影像学B超所谓的白肺。当时还没有无症状感染者一说。无症状感染者是什么时候发现的呢？是后来在河南首先发现的。因为有个女的坐车到外地去看朋友，她当时不是新冠肺炎，但把朋友感染了。流调不理解，因为她的朋友没有接触新冠肺炎病人。紧密流调追踪，把她拉去一检查，才发现她核酸阳性，无症状，居然还能感染人。国内这才定义无症状感染者。中国当初的处理办法是，将这批人归于观察人群，隔离观察，但是没有命名。一直到河南这例传染人的事情发生后，才命名无症状感染者。因为前期将无症状感染者和密接、次密接都统一归于观察人群，因此，最初无症状感染者的数据是没有的。武汉数据、湖北数据、全国数据，有观察人群数据。但没有无症状感染者数据。因为密接和次密，很多都没有感染，他们同无症状感染者的数据混在一起。少数无症状者跟他们都属于观察人群，这样两边的数据是混合在一起的。这个不是中国有意将两者混淆，而且当初不知道他们也传染人。现在上海将他们放到方舱医院，确诊后转医院。但现在无症状感染者同密接和次密是严格分离，数据也是分开算的。所以，我的数据研究，一直保持着统一的标准，以便好比较。今天持这样的标准，明天是别样的标准，这样换来换去，那不叫研究，而叫随心所欲。我这样研究，跟人品有啥关系？研究需要严谨而已，别往人品上扯。4.社会面清查出108例感染者,4月27日是192例。因此，还有7天，社会面清零应该没有问题。不排除提前。俄罗斯和乌克兰方向，现在是马里乌波尔最后攻坚阶段。中国是上海攻坚。",1,0,0,1,1
LEx6s02Gk,收评：今日行情冲高回落，沪指在3300点遇阻，尾盘前跌破3250点支撑，短期看震荡回落的概率大；行业板块方面，农林牧渔、汽车、矿物制品、通用机械、电力等板块领涨，酒店餐饮、旅游、煤炭、医药、半导体等板块跌幅较大；成交量再破万亿，北向资金净流出171.9亿，港股大跌超过2.5%，给了A股很大压力；高层定调下半年经济走向，财政政策和货币政策很难超预期，疫情管控还是动态清零，对于经济增长偏利空，下半年的机会不容易把握，重点关注农林牧渔板块，种业板块机会最明显。,0,0,0,1,0
LqnJXat5Z,说实话，现在我没那么生气了，一整个“静待解封”的心态，不是乐观地相信清零、封控总有一天能把问题解决，而是相信这种不可持续的、完全耗竭式的做法是进行不下去的，它自己就会瓦解，不论你把这说成是自然规律的某种惩罚，还是人的求生本能的清醒与自救。 ,1,0,1,0,1
Lrlny9MOp,#郑州将用一周时间实现社会面清零#这两第一次跟我出去明天核酸郑州见郑州加油? ,0,0,0,1,0
Lnerso2LG,【注意！#吉林街头两野猪狂奔#】4月5日，吉林长春。当市民都在家静态管理时，巡逻人员发现竟有两只野猪在街上狂奔。观观提醒：在路上遇见野生动物请勿靠近，注意安全！#蓝V视界#   四川观察的微博视频 ,0,0,0,1,0
Lp3fEwAZs,#上海农户蔬菜烂在地里事件实情#【上海有农户说蔬菜烂在地里卖不掉？生产基地目前为封控区，无法外运，已制定复工复产方案】#上海农户蔬菜为何烂在地里# 近日，有自称为上海青浦区朱家角镇的农户通过短视频表示，自家和村里的蔬菜由于卖不掉，不得不直接在生产基地销毁，“外面小区买菜买不到，而我们这里的蔬菜基地一根（菜）也卖不掉”。视频在圈群传播后，上海辟谣平台收到留言，希望了解实情。对此，市农业农村委与青浦区农业农村委回复表示，经核查，视频拍摄者来自朱家角镇万隆村蔬菜基地，该基地属于朱家角镇保供单位；其西北侧的蔬菜配菜中心是市新冠疫情防控农产品供给保障重点企业下属单位。从4月11日开始，配菜中心员工陆续出现新冠病毒感染情况。截至4月18日，万隆村共确诊13例，已判定密接10人，另有高风险人群10余人。4月12日，经青浦区专业部门判定及朱家角镇疫情防控工作领导小组讨论决定，将万隆村升级为封控区，落实足不出户管理，因此视频发布者所在的蔬菜专业合作社蔬菜无法外运。针对农民关心的“菜怎么卖”问题，相关部门自4月14日起就已采取了防疫举措，争取早日复工复产：4月14日，朱家角镇防控办联系青浦区疾控部门后，对该区域环境进行采样，采样结果显示为阴性。4月16日，朱家角镇疫情防控工作领导小组根据青浦区统一布置，将万隆村列为攻坚清零区，派驻攻坚工作组入驻指导各项工作。4月17日上午，经涉事合作社申请，根据人员核酸、抗原检测及环境检测结果，万隆村、镇农服中心已与合作社对接蔬菜安全采摘及销售事宜，共同制定防疫期间复工复产方案，考虑恢复蔬菜基地生产销售。截至发稿，视频发布者已删除相关视频。市农业农村委也表示，近阶段正落实各项措施，推进蔬菜生产相关主体复工复产，进一步加大地产蔬菜供应量，畅通地产蔬菜的销售渠道。一是加紧释放劳动力。针对生产一线人员复工复产，正在研究制定全市统一的操作手势；同时要求各区在确保防疫的基础上，动员镇、村组织劳力帮助合作社、菜农等解决采收、包装等劳动力需求。二是进一步增强运力。加强与各涉农区协调，在落实疫情防控要求的基础上，在全市发放2900余张保供通行证，要求各区尽可能将田头蔬菜运出去。同时进一步挖掘现有通行证的潜力，实现动态平衡，提升运输效率。三是成立产销对接小组，收集动态信息，指导各区动员行政区域内具有收购和配送能力的企业和合作社帮助中小散户收购在田蔬菜。四是对规模企业加强产销对接，通过集采、集配、集送等模式对接社区、保供单位、新零售企业等，扩大销售量。五是对中小散户，扩大点对点供给，通过动员重点保供企业、合作社等对接，增加地产蔬菜采购比例，帮助基地解决销售难问题，并增加蔬菜上市量。（上海网络辟谣）,1,0,0,1,1
Log9CDn3z,"【接种疫苗不能停！山西省疾病预防控制中心再发提示】2022年4月11日0-24时，全国新增新冠肺炎本土确诊病例1251例，新增本土无症状感染者23295例,连续7日全国单日新增病例超过2万。山西忻州、大同、太原、晋中、临汾、运城、阳泉多地发生疫情，疫情防控形势复杂严峻。为持续坚持“外防输入、内防反弹”总策略和“动态清零”总方针，维护三晋人民身体健康和正常社会秩序，4月12日，山西省疾病预防控制中心提示如下。履行公民义务，落实疫情防控要求疫情防控是全社会的共同责任，请公众自觉遵守各项疫情防控规定，积极配合落实疫情防控措施，非必要不出省，减少跨市流动，如确需出行，请随时关注健康码、行程卡状态，做好个人防护，准确、全程记录活动轨迹。近期，要停止聚集性活动，减少人员聚集，严格落实婚事缓办、丧事简办、宴会不办的防控原则。不信谣、不传谣，不随意通过微信群、朋友圈、微博等转发各种“小道消息”。封控区、管控区、防范区居民要自觉落实疫情防控指挥部和社区的管控要求。严格遵守疫情防控规定是阻断新冠肺炎疫情传播的重要举措，也是广大公民应尽的义务和责任。对不按规定落实疫情防控措施、不如实报告个人行程、隐瞒接触史，引起传染病传播或严重传播风险，造成严重后果的，将依法严肃追究法律责任。加强个人防护，做好自我健康监测每个人是自己健康的第一责任人，请公众持续坚持戴口罩、勤洗手、保持社交距离“三件套”。外出时，遵守预约、限流规定，配合公共场所测温、验码（健康码、行程卡、场所码）、戴口罩疫情防控“三要素”。坚持“人物同防”原则，接收邮件和快递时，落实先做防护再接收、消毒静置再使用、拆完邮件要洗手、包装处置要规范、异常情况早报告“五要求”。养成勤洗手、常通风、分餐制、用公筷、一米线等良好卫生习惯，一旦出现发热、干咳、乏力、咽痛、嗅（味）觉减退、腹泻等新冠肺炎可疑症状时，做好个人防护，前往就近的发热门诊或定点医疗机构就诊和排查，并如实告知旅居史和接触史，就医途中不得乘坐公共交通工具。接种新冠疫苗，共筑免疫屏障接种新冠疫苗是阻断新冠病毒传播最经济、最有效的手段。未接种新冠病毒疫苗的群众，在没有接种禁忌症的情况下，请到就近的接种门诊尽快接种新冠病毒疫苗，18岁以上人群完成全程接种后满半年尽快接种加强针。",1,0,0,1,1
LopLL8hRs,其他城市出问题，封控，隔离，清零上海出问题，“防疫政策要改”“性价比太低”“现在毫无作用”忘了日增两万是怎么开始的了么？ ,1,1,0,2,1
Lv00B8czw,#天津疫情#【5月28日，和平区开展全员核酸检测】为切实保障人民群众生命安全和身体健康，排查奥密克戎变异毒株潜在传播风险，按照市疫情防控指挥部要求，和平区疫情防控指挥部定于2022年5月28日在全区范围内开展一次核酸检测。现将相关情况通告如下：一、筛查时间和范围1、5月28日中午12时之前，对全区集中隔离、居家隔离、封控区、管控区、防范区等纳管区域人员开展筛查采样。2、5月28日晚19时到23时，对辖区内全体居民（除纳管区域人员）开展筛查采样。二、注意事项（一）筛查期间，实行全区全员保持静止，请广大居民朋友在居住地根据街道统一部署和社区的组织安排，到指定地点及时配合进行核酸检测。（二）请广大居民朋友积极配合各采样点工作人员做好样本采集工作，携带居民身份证、护照等有效证件，分时段有序前往指定采样点进行采样。请大家不恐慌、不造谣、不信谣、不传谣，对拒不配合、不支持核酸检测工作、扰乱秩序、瞒报、谎报、伪造信息的人员，公安机关将依法从严追究法律责任。（三）凡是未在规定时间内参加核酸检测的居民，“健康码”调整为“橙码”，完成核酸检测且结果呈阴性后转为“绿码”。（四）请参加核酸检测人员在采样期间做好个人防护，全程佩戴口罩（建议佩戴N95口罩），主动接受体温检测，不要聚集，保持一米以上距离，不随意在采样现场走动，不擅自进入采样现场的其他区域，防止发生交叉感染。采样完成后，听从现场工作人员指挥，按照区域静态管理相关要求迅速返回家中。天气炎热，请照顾好随行的老人和孩子。（五）接种新冠病毒疫苗不超过48小时人员，向居住地所在社区报备后，不参加本轮全员核酸检测，后续将单独安排补测。请您全力配合全员核酸检测工作，共同构筑牢固防疫屏障。在此，衷心感谢广大居民朋友的理解、配合、支持！和平区疫情防控指挥部2022年5月27日,1,0,0,1,1
